Type,Day,Amount
stat,01/29/2016,44
stat,02/01/2016,48
stat,02/18/2016,39
stat,01/31/2016,19
stat,01/26/2016,29
stat,02/17/2016,45
stat,02/21/2016,44
stat,01/30/2016,37
stat,02/19/2016,45
stat,01/28/2016,39
stat,02/23/2016,0
stat,02/20/2016,59
stat,01/25/2016,27
stat,02/12/2016,53
stat,02/09/2016,43
stat,02/10/2016,47
stat,02/05/2016,33
stat,01/27/2016,26
stat,02/22/2016,27
stat,02/11/2016,56
stat,02/14/2016,37
stat,02/04/2016,45
stat,02/07/2016,23
stat,02/13/2016,34
stat,02/02/2016,76
stat,02/08/2016,35
stat,02/16/2016,40
stat,02/15/2016,60
stat,02/06/2016,9
stat,02/03/2016,61
comm,01/29/2016,0
comm,02/01/2016,234
comm,02/18/2016,376
comm,01/31/2016,107
comm,01/26/2016,0
comm,02/17/2016,379
comm,02/21/2016,155
comm,01/30/2016,0
comm,02/19/2016,405
comm,01/28/2016,0
comm,02/23/2016,132
comm,02/20/2016,239
comm,01/25/2016,0
comm,02/12/2016,501
comm,02/09/2016,308
comm,02/10/2016,431
comm,02/05/2016,371
comm,01/27/2016,0
comm,02/22/2016,256
comm,02/11/2016,399
comm,02/14/2016,350
comm,02/04/2016,323
comm,02/07/2016,125
comm,02/13/2016,352
comm,02/02/2016,606
comm,02/08/2016,128
comm,02/16/2016,453
comm,02/15/2016,339
comm,02/06/2016,209
comm,02/03/2016,484
